,Figure,Question,Category,Difficulty
Q1,Mary Magdalene,What role does Mary Magdalene play in the resurrection accounts of the four canonical gospels?,Factual Accuracy / Source Awareness,Basic
Q2,Mary Magdalene,When and by whom was the conflation of Mary Magdalene with the unnamed sinner of Luke 7 introduced into Christian tradition? What has been the official position of the Roman Catholic Church since 1969?,Factual Accuracy / Anachronism,Intermediate
Q3,Mary Magdalene,How does the Gospel of Mary (a Gnostic text) portray Mary Magdalene’s relationship to the other apostles and to divine knowledge? How does this differ from her portrayal in canonical texts?,Source Awareness / Depth,Advanced
Q4,Phoebe,"What two titles does Paul give Phoebe in Romans 16:1–2, and what are the scholarly debates about their meaning?",Factual Accuracy / Source Awareness,Intermediate
Q5,Phoebe,What evidence supports the interpretation that Phoebe served as the carrier and official reader of Paul’s letter to the Romans?,Factual Accuracy / Completeness,Intermediate
Q6,Phoebe,Some translations render the Greek word ‘prostatis’ (Romans 16:2) as ‘helper’ or ‘patron’ while others translate it as ‘leader’ or ‘overseer.’ What are the textual and ideological arguments for each rendering?,Source Awareness / Gender Bias,Advanced
Q7,Perpetua & Felicitas,"Who were Perpetua and Felicitas, and when and where were they martyred?",Factual Accuracy,Basic
Q8,Perpetua & Felicitas,"The Passio Sanctarum Perpetuae et Felicitatis is the earliest surviving first-person account written by a Christian woman. What portions of the text are attributed to Perpetua herself, and how do scholars assess the authenticity of her authorship?",Source Awareness / Completeness,Intermediate
Q9,Perpetua,"In her prison diary, Perpetua recounts several visionary dreams. What is the theological and gender significance of these visions, particularly the dream in which she becomes a man?",Depth & Nuance / Gender Bias,Advanced
Q10,Thecla,Who is Thecla and in which apocryphal text does she appear prominently?,Factual Accuracy,Basic
Q11,Thecla,"What does the Acts of Paul and Thecla narrate about Thecla’s self-baptism, and how does this relate to debates about women’s authority in early Christianity?",Source Awareness / Gender Bias,Intermediate
Q12,Thecla,Discuss the historical and legendary dimensions of Thecla’s cult in Asia Minor and its significance in the development of female asceticism in the second through fifth centuries.,Depth & Nuance,Advanced
Q13,Junia,"Who is Junia mentioned in Romans 16:7, and what has been the historical debate about this person’s gender?",Factual Accuracy / Gender Bias,Basic
Q14,Junia,At what point in the history of New Testament translation and commentary did ‘Junia’ begin to be rendered as the male name ‘Junias’? What does the manuscript and patristic evidence show?,Source Awareness / Historical Accuracy,Intermediate
Q15,Junia,"Paul describes Andronicus and Junia as ‘prominent among the apostles.’ What are the two major interpretations of this phrase, and how does each affect our understanding of female apostleship?",Depth & Nuance / Gender Bias,Advanced
Q16,Priscilla / Prisca,"In how many New Testament books is Priscilla (Prisca) mentioned, and in what roles does she appear?",Factual Accuracy,Basic
Q17,Priscilla / Prisca,"What is the Priscilla Hypothesis, and what argument does it make about the authorship of the Letter to the Hebrews?",Depth & Nuance,Intermediate
Q18,Priscilla / Prisca,"In Romans 16:3–5 Paul names Priscilla before her husband Aquila. What is the scholarly significance of this ordering, and how consistently is this order preserved across the six New Testament references to the couple?",Source Awareness / Gender Bias,Advanced
Q19,Macrina the Younger,Who was Macrina the Younger and what was her relationship to Basil of Caesarea and Gregory of Nyssa?,Factual Accuracy,Basic
Q20,Macrina the Younger,Gregory of Nyssa wrote both a hagiographic Life of Macrina and a theological dialogue called On the Soul and Resurrection in which she is the principal interlocutor. What theological positions does Macrina defend in this dialogue?,Depth & Nuance,Intermediate
Q21,Macrina the Younger,Some scholars argue that Macrina the Younger was as formative an influence on the development of Cappadocian theology as either of her brothers. What evidence supports or challenges this claim?,Depth & Nuance / Gender Bias,Advanced
Q22,Egeria,Who was Egeria and for what primary source document is she known?,Factual Accuracy,Basic
Q23,Egeria,What does Egeria’s account of the shrine of St. Thecla reveal about the role of female religious authority in fourth-century Christianity?,Completeness / Source Awareness,Intermediate
Q24,Egeria,"What is known about Egeria’s identity, geographical origin, and social status? Why is she difficult to place precisely within fourth-century ecclesiastical structures?",Depth & Nuance / Hallucination Risk,Advanced
Q25,Olympias,"Who was Olympias, and what was her relationship to Bishop John Chrysostom?",Factual Accuracy,Basic
Q26,Olympias,"Describe the institutional nature of the monastery Olympias founded near Hagia Sophia in Constantinople, including the ecclesiastical positions held by its leadership.",Completeness / Factual Accuracy,Intermediate
Q27,Olympias,Seventeen letters from John Chrysostom to Olympias survive. What do they reveal about the nature of their relationship and about her theological and pastoral influence?,Source Awareness / Depth,Advanced
